ID,CODIGO DE LA ENTIDAD,CODIGO UBIGEO INEI,CODIGO PAIS,NOMBRE DE LA UO,Fecha,CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (Pa),Temperatura (C)
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 00:00,0,0,85.21,0,40.80,18.59,7.27,72.48,0,91.64,-12.10972,-77.05194,100750.77,15.71
2,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 01:00,0,0,84.51,0,48.19,21.02,7.28,69.67,0,91.32,-12.10972,-77.05194,100739.41,15.73
3,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 02:00,0,0,83.38,0,40.88,18.83,7.25,72.05,0,92.59,-12.10972,-77.05194,100743.13,15.44
4,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 03:00,0,0,82.50,0,33.65,17.38,7.26,70.18,0,92.89,-12.10972,-77.05194,100725.32,15.29
5,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 04:00,0,0,84.14,0,23.40,13.80,7.27,70.77,0,92.35,-12.10972,-77.05194,100696.99,15.24
6,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 05:00,0,0,89.76,0,16.79,11.06,7.29,77.13,0,91.00,-12.10972,-77.05194,100709.17,15.40
7,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 06:00,0,0,96.53,0,15.40,9.57,7.33,88.63,0,90.42,-12.10972,-77.05194,100752.86,15.59
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 07:00,14.18,0.00,114.16,0,41.47,15.21,7.41,94.35,0,93.38,-12.10972,-77.05194,100795.21,15.48
9,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 08:00,253.98,2.64,116.49,0,21.24,11.08,7.56,94.62,0.06,93.46,-12.10972,-77.05194,100849.11,15.64
10,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 09:00,32.63,0,109.47,0,31.15,12.82,7.52,97.20,0.28,89.90,-12.10972,-77.05194,100917.31,16.44
11,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 10:00,22.94,0,102.73,0,45.64,16.62,7.53,99.97,0.47,90.37,-12.10972,-77.05194,100926.97,16.98
12,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 11:00,94.38,0,90.28,0,32.68,12.54,7.91,97.17,0.74,85.40,-12.10972,-77.05194,100878.16,18.06
13,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 12:00,0,0,71.71,0,31.02,9.95,7.81,96.61,0.90,85.23,-12.10972,-77.05194,100833.70,18.06
14,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 13:00,0,0,56.61,0,27.55,8.10,7.96,97.21,1.27,82.40,-12.10972,-77.05194,100785.33,18.75
15,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 14:00,0,0,36.22,0,27.64,8.41,8.26,100.71,1.58,76.28,-12.10972,-77.05194,100713.66,19.66
16,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 15:00,0,0,59.44,0,28.79,9.04,8.08,96.48,1.15,76.88,-12.10972,-77.05194,100661.10,19.25
17,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 16:00,0,0,92.41,0,30.63,10.25,7.74,98.20,0.66,82.76,-12.10972,-77.05194,100654.58,17.80
18,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 17:00,0,0,97.36,0,37.85,10.92,7.44,96.79,0.26,89.50,-12.10972,-77.05194,100663.94,16.64
19,10069,150122,PE,Subgerencia de Desarrollo Ambiental,01/07/2020 18:00,18.30,0,112.39,0,36.71,10.71,7.34,97.20,0.01,90.90,-12.10972,-77.05194,100691.41,16.40